INDEX,COMPANY,DATE,DAYS,FREQUENCY,PRICE,AMOUNT,LAT,LONG,HALAL SOURCES IDENTIFIED,HALAL SUPPLY CHAIN USAGE DEFINED,FOLLOW HTM
29,SYAHIRAH RESOURCES SDN BHD,29/10/2019,29,3,13.18,39.54,3.2196,101.6229,0,1,0
30,SYAHIRAH RESOURCES SDN BHD,30/10/2019,30,7,13.18,92.26,3.2196,101.6227,0,1,0
31,SYAHIRAH RESOURCES SDN BHD,31/10/2019,31,9,13.18,118.62,3.2196,101.6231,0,1,0
32,SYAHIRAH RESOURCES SDN BHD,1/11/2019,32,10,13.18,131.8,3.2196,101.6226,0,0,0
33,SYAHIRAH RESOURCES SDN BHD,2/11/2019,33,11,13.18,144.98,3.2196,101.6226,1,0,0
34,SYAHIRAH RESOURCES SDN BHD,3/11/2019,34,4,13.18,52.72,3.2196,101.6228,0,1,0
35,SYAHIRAH RESOURCES SDN BHD,4/11/2019,35,2,13.18,26.36,3.2196,101.623,1,0,0
36,SYAHIRAH RESOURCES SDN BHD,5/11/2019,36,6,13.18,79.08,3.2196,101.6231,0,1,0
37,SYAHIRAH RESOURCES SDN BHD,6/11/2019,37,11,13.18,144.98,3.2196,101.6229,1,0,0
38,SYAHIRAH RESOURCES SDN BHD,7/11/2019,38,2,13.18,26.36,3.2196,101.623,0,1,0
39,SYAHIRAH RESOURCES SDN BHD,8/11/2019,39,7,13.18,92.26,3.2196,101.6229,1,0,0
40,SYAHIRAH RESOURCES SDN BHD,9/11/2019,40,7,13.18,92.26,3.2196,101.6231,0,1,0
41,SYAHIRAH RESOURCES SDN BHD,10/11/2019,41,3,13.18,39.54,3.2196,101.6226,0,0,0
42,SYAHIRAH RESOURCES SDN BHD,11/11/2019,42,7,13.18,92.26,3.2196,101.623,0,1,0
43,SYAHIRAH RESOURCES SDN BHD,12/11/2019,43,7,13.18,92.26,3.2196,101.6229,1,1,1
44,SYAHIRAH RESOURCES SDN BHD,13/11/2019,44,10,13.18,131.8,3.2196,101.6231,0,1,0
45,SYAHIRAH RESOURCES SDN BHD,14/11/2019,45,2,13.18,26.36,3.2196,101.623,0,1,0
46,SYAHIRAH RESOURCES SDN BHD,15/11/2019,46,11,13.18,144.98,3.2196,101.6226,0,0,0
47,SYAHIRAH RESOURCES SDN BHD,16/11/2019,47,8,13.18,105.44,3.2196,101.6231,0,0,0
48,SYAHIRAH RESOURCES SDN BHD,17/11/2019,48,2,13.18,26.36,3.2196,101.6227,1,1,1
49,SYAHIRAH RESOURCES SDN BHD,18/11/2019,49,6,13.18,79.08,3.2196,101.6227,1,1,1
50,SYAHIRAH RESOURCES SDN BHD,19/11/2019,50,4,13.18,52.72,3.2196,101.6229,1,1,1
51,SYAHIRAH RESOURCES SDN BHD,20/11/2019,51,9,13.18,118.62,3.2196,101.623,0,1,0
52,SYAHIRAH RESOURCES SDN BHD,21/11/2019,52,1,13.18,13.18,3.2196,101.6229,1,1,1
53,SYAHIRAH RESOURCES SDN BHD,22/11/2019,53,8,13.18,105.44,3.2196,101.6227,1,1,1
54,SYAHIRAH RESOURCES SDN BHD,23/11/2019,54,7,13.18,92.26,3.2196,101.623,1,0,0
55,SYAHIRAH RESOURCES SDN BHD,24/11/2019,55,1,13.18,13.18,3.2196,101.6231,1,0,0
56,SYAHIRAH RESOURCES SDN BHD,25/11/2019,56,10,13.18,131.8,3.2196,101.6228,0,1,0
57,SYAHIRAH RESOURCES SDN BHD,26/11/2019,57,1,13.18,13.18,3.2196,101.6227,1,1,1
58,SYAHIRAH RESOURCES SDN BHD,27/11/2019,58,1,13.18,13.18,3.2196,101.623,1,0,0
59,SYAHIRAH RESOURCES SDN BHD,28/11/2019,59,3,13.18,39.54,3.2196,101.6229,1,0,0
60,SYAHIRAH RESOURCES SDN BHD,29/11/2019,60,3,13.18,39.54,3.2196,101.6227,0,1,0
61,SYAHIRAH RESOURCES SDN BHD,30/11/2019,61,9,13.18,118.62,3.2196,101.6227,0,1,0
62,SYAHIRAH RESOURCES SDN BHD,1/12/2019,62,8,13.18,105.44,3.2196,101.6228,0,1,0
63,SYAHIRAH RESOURCES SDN BHD,2/12/2019,63,10,13.18,131.8,3.2196,101.6226,0,0,0
64,SYAHIRAH RESOURCES SDN BHD,3/12/2019,64,2,13.18,26.36,3.2196,101.6231,1,1,1
65,SYAHIRAH RESOURCES SDN BHD,4/12/2019,65,5,13.18,65.9,3.2196,101.6229,0,0,0
66,SYAHIRAH RESOURCES SDN BHD,5/12/2019,66,9,13.18,118.62,3.2196,101.6231,0,0,0
67,SYAHIRAH RESOURCES SDN BHD,6/12/2019,67,12,13.18,158.16,3.2196,101.6226,0,1,0
68,SYAHIRAH RESOURCES SDN BHD,7/12/2019,68,2,13.18,26.36,3.2196,101.6228,1,0,0
69,SYAHIRAH RESOURCES SDN BHD,8/12/2019,69,7,13.18,92.26,3.2196,101.6226,0,0,0
70,SYAHIRAH RESOURCES SDN BHD,9/12/2019,70,12,13.18,158.16,3.2196,101.6228,1,1,1
71,SYAHIRAH RESOURCES SDN BHD,10/12/2019,71,5,13.18,65.9,3.2196,101.6228,0,0,0
72,SYAHIRAH RESOURCES SDN BHD,11/12/2019,72,4,13.18,52.72,3.2196,101.6231,1,0,0
73,SYAHIRAH RESOURCES SDN BHD,12/12/2019,73,2,13.18,26.36,3.2196,101.6229,1,1,1
74,SYAHIRAH RESOURCES SDN BHD,13/12/2019,74,12,13.18,158.16,3.2196,101.6229,0,0,0
75,SYAHIRAH RESOURCES SDN BHD,14/12/2019,75,10,13.18,131.8,3.2196,101.6226,0,1,0
76,SYAHIRAH RESOURCES SDN BHD,15/12/2019,76,1,13.18,13.18,3.2196,101.6227,0,0,0
77,SYAHIRAH RESOURCES SDN BHD,16/12/2019,77,6,13.18,79.08,3.2196,101.6231,0,0,0
78,SYAHIRAH RESOURCES SDN BHD,17/12/2019,78,3,13.18,39.54,3.2196,101.6228,1,0,0
79,SYAHIRAH RESOURCES SDN BHD,18/12/2019,79,12,13.18,158.16,3.2196,101.623,1,1,1
80,SYAHIRAH RESOURCES SDN BHD,19/12/2019,80,4,13.18,52.72,3.2196,101.6231,0,1,0
81,SYAHIRAH RESOURCES SDN BHD,20/12/2019,81,7,13.18,92.26,3.2196,101.6226,1,1,1
82,SYAHIRAH RESOURCES SDN BHD,21/12/2019,82,6,13.18,79.08,3.2196,101.623,1,0,0
83,SYAHIRAH RESOURCES SDN BHD,22/12/2019,83,12,13.18,158.16,3.2196,101.6229,1,0,0
84,SYAHIRAH RESOURCES SDN BHD,23/12/2019,84,12,13.18,158.16,3.2196,101.623,1,1,1
85,SYAHIRAH RESOURCES SDN BHD,24/12/2019,85,8,13.18,105.44,3.2196,101.623,1,1,1
86,SYAHIRAH RESOURCES SDN BHD,25/12/2019,86,9,13.18,118.62,3.2196,101.6227,1,0,0
87,SYAHIRAH RESOURCES SDN BHD,26/12/2019,87,9,13.18,118.62,3.2196,101.623,1,1,1
88,SYAHIRAH RESOURCES SDN BHD,27/12/2019,88,11,13.18,144.98,3.2196,101.623,1,1,1
89,SYAHIRAH RESOURCES SDN BHD,28/12/2019,89,3,13.18,39.54,3.2196,101.6229,1,0,0
90,SYAHIRAH RESOURCES SDN BHD,29/12/2019,90,9,13.18,118.62,3.2196,101.6228,1,1,1
91,SYAHIRAH RESOURCES SDN BHD,30/12/2019,91,10,13.18,131.8,3.2196,101.6227,1,0,0
92,SYAHIRAH RESOURCES SDN BHD,31/12/2019,92,1,13.18,13.18,3.2196,101.6229,1,0,0
93,SYAHIRAH RESOURCES SDN BHD,1/1/2020,93,4,13.18,52.72,3.2196,101.6228,0,1,0
94,SYAHIRAH RESOURCES SDN BHD,2/1/2020,94,2,13.18,26.36,3.2196,101.6228,1,0,0
95,SYAHIRAH RESOURCES SDN BHD,3/1/2020,95,2,13.18,26.36,3.2196,101.6228,1,1,1
96,SYAHIRAH RESOURCES SDN BHD,4/1/2020,96,4,13.18,52.72,3.2196,101.6226,0,1,0
97,SYAHIRAH RESOURCES SDN BHD,5/1/2020,97,5,13.18,65.9,3.2196,101.6229,0,0,0
98,SYAHIRAH RESOURCES SDN BHD,6/1/2020,98,3,13.18,39.54,3.2196,101.6231,1,0,0
99,SYAHIRAH RESOURCES SDN BHD,7/1/2020,99,4,13.18,52.72,3.2196,101.6227,1,0,0
100,SYAHIRAH RESOURCES SDN BHD,8/1/2020,100,3,13.18,39.54,3.2196,101.6231,0,1,0
101,SYAHIRAH RESOURCES SDN BHD,9/1/2020,101,1,13.18,13.18,3.2196,101.6227,1,1,1
102,SYAHIRAH RESOURCES SDN BHD,10/1/2020,102,3,13.18,39.54,3.2196,101.6226,1,0,0
103,SYAHIRAH RESOURCES SDN BHD,11/1/2020,103,3,13.18,39.54,3.2196,101.6229,0,1,0
104,SYAHIRAH RESOURCES SDN BHD,12/1/2020,104,1,13.18,13.18,3.2196,101.6226,0,1,0
105,SYAHIRAH RESOURCES SDN BHD,13/1/2020,105,5,13.18,65.9,3.2196,101.623,0,0,0
106,SYAHIRAH RESOURCES SDN BHD,14/1/2020,106,4,13.18,52.72,3.2196,101.6226,1,0,0
107,SYAHIRAH RESOURCES SDN BHD,15/1/2020,107,4,13.18,52.72,3.2196,101.6226,0,1,0
108,SYAHIRAH RESOURCES SDN BHD,16/1/2020,108,5,13.18,65.9,3.2196,101.6226,1,0,0
109,SYAHIRAH RESOURCES SDN BHD,17/1/2020,109,4,13.18,52.72,3.2196,101.6228,0,1,0
110,SYAHIRAH RESOURCES SDN BHD,18/1/2020,110,4,13.18,52.72,3.2196,101.6227,0,0,0
111,SYAHIRAH RESOURCES SDN BHD,19/1/2020,111,3,13.18,39.54,3.2196,101.6228,1,0,0
112,SYAHIRAH RESOURCES SDN BHD,20/1/2020,112,5,13.18,65.9,3.2196,101.6228,0,1,0
113,SYAHIRAH RESOURCES SDN BHD,21/1/2020,113,2,13.18,26.36,3.2196,101.6226,0,1,0
114,SYAHIRAH RESOURCES SDN BHD,22/1/2020,114,5,13.18,65.9,3.2196,101.6227,1,1,1
115,SYAHIRAH RESOURCES SDN BHD,23/1/2020,115,2,13.18,26.36,3.2196,101.623,0,0,0
116,SYAHIRAH RESOURCES SDN BHD,24/1/2020,116,4,13.18,52.72,3.2196,101.6229,1,0,0
117,SYAHIRAH RESOURCES SDN BHD,25/1/2020,117,4,13.18,52.72,3.2196,101.6231,1,0,0
118,SYAHIRAH RESOURCES SDN BHD,26/1/2020,118,3,13.18,39.54,3.2196,101.623,0,0,0
119,SYAHIRAH RESOURCES SDN BHD,27/1/2020,119,4,13.18,52.72,3.2196,101.6231,1,1,1
120,SYAHIRAH RESOURCES SDN BHD,28/1/2020,120,1,13.18,13.18,3.2196,101.6228,1,0,0
121,SYAHIRAH RESOURCES SDN BHD,29/1/2020,121,1,13.18,13.18,3.2196,101.6227,1,1,1
122,SYAHIRAH RESOURCES SDN BHD,30/1/2020,122,5,13.18,65.9,3.2196,101.6227,1,1,1
123,SYAHIRAH RESOURCES SDN BHD,31/1/2020,123,4,13.18,52.72,3.2196,101.6228,1,0,0
124,SYAHIRAH RESOURCES SDN BHD,1/2/2020,124,9,13.18,118.62,3.2196,101.6231,0,0,0
125,SYAHIRAH RESOURCES SDN BHD,2/2/2020,125,16,13.18,210.88,3.2196,101.6228,0,0,0
126,SYAHIRAH RESOURCES SDN BHD,3/2/2020,126,15,13.18,197.7,3.2196,101.623,1,0,0
127,SYAHIRAH RESOURCES SDN BHD,4/2/2020,127,5,13.18,65.9,3.2196,101.6231,0,0,0
128,SYAHIRAH RESOURCES SDN BHD,5/2/2020,128,4,13.18,52.72,3.2196,101.6226,1,1,1
129,SYAHIRAH RESOURCES SDN BHD,6/2/2020,129,20,13.18,263.6,3.2196,101.6227,1,0,0
130,SYAHIRAH RESOURCES SDN BHD,7/2/2020,130,4,13.18,52.72,3.2196,101.6231,0,1,0
131,SYAHIRAH RESOURCES SDN BHD,8/2/2020,131,11,13.18,144.98,3.2196,101.6229,1,0,0
132,SYAHIRAH RESOURCES SDN BHD,9/2/2020,132,4,13.18,52.72,3.2196,101.6226,0,0,0
133,SYAHIRAH RESOURCES SDN BHD,10/2/2020,133,20,13.18,263.6,3.2196,101.623,1,0,0
134,SYAHIRAH RESOURCES SDN BHD,11/2/2020,134,7,13.18,92.26,3.2196,101.6231,1,1,1
135,SYAHIRAH RESOURCES SDN BHD,12/2/2020,135,20,13.18,263.6,3.2196,101.6227,0,1,0
136,SYAHIRAH RESOURCES SDN BHD,13/2/2020,136,1,13.18,13.18,3.2196,101.6227,1,1,1
137,SYAHIRAH RESOURCES SDN BHD,14/2/2020,137,13,13.18,171.34,3.2196,101.6226,1,0,0
138,SYAHIRAH RESOURCES SDN BHD,15/2/2020,138,1,13.18,13.18,3.2196,101.6231,0,1,0
139,SYAHIRAH RESOURCES SDN BHD,16/2/2020,139,8,13.18,105.44,3.2196,101.6228,0,1,0
140,SYAHIRAH RESOURCES SDN BHD,17/2/2020,140,14,13.18,184.52,3.2196,101.6227,0,0,0
141,SYAHIRAH RESOURCES SDN BHD,18/2/2020,141,16,13.18,210.88,3.2196,101.6231,0,1,0
142,SYAHIRAH RESOURCES SDN BHD,19/2/2020,142,3,13.18,39.54,3.2196,101.6227,0,0,0
143,SYAHIRAH RESOURCES SDN BHD,20/2/2020,143,14,13.18,184.52,3.2196,101.6228,1,0,0
144,SYAHIRAH RESOURCES SDN BHD,21/2/2020,144,7,13.18,92.26,3.2196,101.6227,0,1,0
145,SYAHIRAH RESOURCES SDN BHD,22/2/2020,145,19,13.18,250.42,3.2196,101.6229,1,0,0
146,SYAHIRAH RESOURCES SDN BHD,23/2/2020,146,12,13.18,158.16,3.2196,101.6229,1,1,1
147,SYAHIRAH RESOURCES SDN BHD,24/2/2020,147,11,13.18,144.98,3.2196,101.623,0,1,0
148,SYAHIRAH RESOURCES SDN BHD,25/2/2020,148,17,13.18,224.06,3.2196,101.6229,1,0,0
149,SYAHIRAH RESOURCES SDN BHD,26/2/2020,149,21,13.18,276.78,3.2196,101.6227,1,1,1
150,SYAHIRAH RESOURCES SDN BHD,27/2/2020,150,17,13.18,224.06,3.2196,101.6231,0,1,0
151,SYAHIRAH RESOURCES SDN BHD,28/2/2020,151,10,13.18,131.8,3.2196,101.6226,0,1,0
152,SYAHIRAH RESOURCES SDN BHD,29/2/2020,152,15,13.18,197.7,3.2196,101.6231,0,0,0
153,SYAHIRAH RESOURCES SDN BHD,1/3/2020,153,53,13.18,698.54,3.2196,101.6229,1,1,1
154,SYAHIRAH RESOURCES SDN BHD,2/3/2020,154,19,13.18,250.42,3.2196,101.6226,1,1,1
155,SYAHIRAH RESOURCES SDN BHD,3/3/2020,155,28,13.18,369.04,3.2196,101.6227,0,1,0
156,SYAHIRAH RESOURCES SDN BHD,4/3/2020,156,32,13.18,421.76,3.2196,101.6228,1,1,1
157,SYAHIRAH RESOURCES SDN BHD,5/3/2020,157,45,13.18,593.1,3.2196,101.6229,0,0,0
158,SYAHIRAH RESOURCES SDN BHD,6/3/2020,158,10,13.18,131.8,3.2196,101.6231,1,1,1
159,SYAHIRAH RESOURCES SDN BHD,7/3/2020,159,55,13.18,724.9,3.2196,101.623,0,1,0
160,SYAHIRAH RESOURCES SDN BHD,8/3/2020,160,26,13.18,342.68,3.2196,101.6228,0,1,0
161,SYAHIRAH RESOURCES SDN BHD,9/3/2020,161,8,13.18,105.44,3.2196,101.6227,1,1,1
162,SYAHIRAH RESOURCES SDN BHD,10/3/2020,162,28,13.18,369.04,3.2196,101.6226,0,0,0
163,SYAHIRAH RESOURCES SDN BHD,11/3/2020,163,49,13.18,645.82,3.2196,101.623,1,1,1
164,SYAHIRAH RESOURCES SDN BHD,12/3/2020,164,10,13.18,131.8,3.2196,101.6227,0,0,0
165,SYAHIRAH RESOURCES SDN BHD,13/3/2020,165,5,13.18,65.9,3.2196,101.6228,1,0,0
166,SYAHIRAH RESOURCES SDN BHD,14/3/2020,166,52,13.18,685.36,3.2196,101.6231,1,1,1
167,SYAHIRAH RESOURCES SDN BHD,15/3/2020,167,49,13.18,645.82,3.2196,101.6227,1,1,1
168,SYAHIRAH RESOURCES SDN BHD,16/3/2020,168,57,13.18,751.26,3.2196,101.6229,1,1,1
169,SYAHIRAH RESOURCES SDN BHD,17/3/2020,169,28,13.18,369.04,3.2196,101.6227,1,1,1
170,SYAHIRAH RESOURCES SDN BHD,18/3/2020,170,26,13.18,342.68,3.2196,101.623,1,1,1
171,SYAHIRAH RESOURCES SDN BHD,19/3/2020,171,34,13.18,448.12,3.2196,101.6227,1,1,1
172,SYAHIRAH RESOURCES SDN BHD,20/3/2020,172,20,13.18,263.6,3.2196,101.6228,0,0,0
173,SYAHIRAH RESOURCES SDN BHD,21/3/2020,173,23,13.18,303.14,3.2196,101.6231,1,1,1
174,SYAHIRAH RESOURCES SDN BHD,22/3/2020,174,15,13.18,197.7,3.2196,101.623,0,1,0
175,SYAHIRAH RESOURCES SDN BHD,23/3/2020,175,16,13.18,210.88,3.2196,101.6231,0,1,0
176,SYAHIRAH RESOURCES SDN BHD,24/3/2020,176,15,13.18,197.7,3.2196,101.6229,0,1,0
177,SYAHIRAH RESOURCES SDN BHD,25/3/2020,177,26,13.18,342.68,3.2196,101.6226,0,1,0
178,SYAHIRAH RESOURCES SDN BHD,26/3/2020,178,44,13.18,579.92,3.2196,101.6227,0,0,0
179,SYAHIRAH RESOURCES SDN BHD,27/3/2020,179,19,13.18,250.42,3.2196,101.6226,1,1,1
180,SYAHIRAH RESOURCES SDN BHD,28/3/2020,180,28,13.18,369.04,3.2196,101.6231,1,1,1
181,SYAHIRAH RESOURCES SDN BHD,29/3/2020,181,37,13.18,487.66,3.2196,101.6226,1,1,1
182,SYAHIRAH RESOURCES SDN BHD,30/3/2020,182,17,13.18,224.06,3.2196,101.6231,0,0,0
183,SYAHIRAH RESOURCES SDN BHD,31/3/2020,183,24,13.18,316.32,3.2196,101.6228,1,1,1
184,SYAHIRAH RESOURCES SDN BHD,1/4/2020,184,122,13.18,1607.96,3.2196,101.623,0,0,0
185,SYAHIRAH RESOURCES SDN BHD,2/4/2020,185,161,13.18,2121.98,3.2196,101.6226,1,0,0
186,SYAHIRAH RESOURCES SDN BHD,3/4/2020,186,164,13.18,2161.52,3.2196,101.623,1,1,1
187,SYAHIRAH RESOURCES SDN BHD,4/4/2020,187,45,13.18,593.1,3.2196,101.6231,1,1,1
188,SYAHIRAH RESOURCES SDN BHD,5/4/2020,188,155,13.18,2042.9,3.2196,101.6231,1,0,0
189,SYAHIRAH RESOURCES SDN BHD,6/4/2020,189,92,13.18,1212.56,3.2196,101.623,1,1,1
190,SYAHIRAH RESOURCES SDN BHD,7/4/2020,190,107,13.18,1410.26,3.2196,101.6231,0,1,0
191,SYAHIRAH RESOURCES SDN BHD,8/4/2020,191,24,13.18,316.32,3.2196,101.623,0,0,0
192,SYAHIRAH RESOURCES SDN BHD,9/4/2020,192,64,13.18,843.52,3.2196,101.6227,1,1,1
193,SYAHIRAH RESOURCES SDN BHD,10/4/2020,193,125,13.18,1647.5,3.2196,101.6231,0,1,0
194,SYAHIRAH RESOURCES SDN BHD,11/4/2020,194,165,13.18,2174.7,3.2196,101.6228,0,0,0
195,SYAHIRAH RESOURCES SDN BHD,12/4/2020,195,130,13.18,1713.4,3.2196,101.6231,1,0,0
196,SYAHIRAH RESOURCES SDN BHD,13/4/2020,196,44,13.18,579.92,3.2196,101.6227,1,1,1
197,SYAHIRAH RESOURCES SDN BHD,14/4/2020,197,59,13.18,777.62,3.2196,101.6229,0,1,0
198,SYAHIRAH RESOURCES SDN BHD,15/4/2020,198,170,13.18,2240.6,3.2196,101.6229,1,1,1
199,SYAHIRAH RESOURCES SDN BHD,16/4/2020,199,60,13.18,790.8,3.2196,101.6231,0,1,0
200,SYAHIRAH RESOURCES SDN BHD,17/4/2020,200,107,13.18,1410.26,3.2196,101.6226,0,1,0
201,SYAHIRAH RESOURCES SDN BHD,18/4/2020,201,162,13.18,2135.16,3.2196,101.6229,1,1,1
202,SYAHIRAH RESOURCES SDN BHD,19/4/2020,202,151,13.18,1990.18,3.2196,101.6229,1,1,1
203,SYAHIRAH RESOURCES SDN BHD,20/4/2020,203,75,13.18,988.5,3.2196,101.6229,0,1,0
204,SYAHIRAH RESOURCES SDN BHD,21/4/2020,204,176,13.18,2319.68,3.2196,101.6229,0,0,0
205,SYAHIRAH RESOURCES SDN BHD,22/4/2020,205,42,13.18,553.56,3.2196,101.6226,1,0,0
206,SYAHIRAH RESOURCES SDN BHD,23/4/2020,206,123,13.18,1621.14,3.2196,101.6231,1,1,1
207,SYAHIRAH RESOURCES SDN BHD,24/4/2020,207,57,13.18,751.26,3.2196,101.623,1,0,0
208,SYAHIRAH RESOURCES SDN BHD,25/4/2020,208,168,13.18,2214.24,3.2196,101.6226,1,1,1
209,SYAHIRAH RESOURCES SDN BHD,26/4/2020,209,177,13.18,2332.86,3.2196,101.6227,0,0,0
210,SYAHIRAH RESOURCES SDN BHD,27/4/2020,210,98,13.18,1291.64,3.2196,101.623,0,0,0
211,SYAHIRAH RESOURCES SDN BHD,28/4/2020,211,36,13.18,474.48,3.2196,101.6228,0,1,0
212,SYAHIRAH RESOURCES SDN BHD,29/4/2020,212,123,13.18,1621.14,3.2196,101.6231,1,1,1
213,SYAHIRAH RESOURCES SDN BHD,30/4/2020,213,117,13.18,1542.06,3.2196,101.6227,1,0,0
214,SYAHIRAH RESOURCES SDN BHD,1/5/2020,214,101,13.18,1331.18,3.2196,101.6229,0,0,0
215,SYAHIRAH RESOURCES SDN BHD,2/5/2020,215,312,13.18,4112.16,3.2196,101.623,1,0,0
216,SYAHIRAH RESOURCES SDN BHD,3/5/2020,216,219,13.18,2886.42,3.2196,101.623,0,0,0
217,SYAHIRAH RESOURCES SDN BHD,4/5/2020,217,130,13.18,1713.4,3.2196,101.6229,0,1,0
218,SYAHIRAH RESOURCES SDN BHD,5/5/2020,218,31,13.18,408.58,3.2196,101.6231,1,0,0
219,SYAHIRAH RESOURCES SDN BHD,6/5/2020,219,38,13.18,500.84,3.2196,101.623,1,1,1
220,SYAHIRAH RESOURCES SDN BHD,7/5/2020,220,228,13.18,3005.04,3.2196,101.6229,0,0,0
221,SYAHIRAH RESOURCES SDN BHD,8/5/2020,221,49,13.18,645.82,3.2196,101.6231,0,1,0
222,SYAHIRAH RESOURCES SDN BHD,9/5/2020,222,207,13.18,2728.26,3.2196,101.6231,0,1,0
223,SYAHIRAH RESOURCES SDN BHD,10/5/2020,223,24,13.18,316.32,3.2196,101.6231,0,0,0
224,SYAHIRAH RESOURCES SDN BHD,11/5/2020,224,90,13.18,1186.2,3.2196,101.6231,1,1,1
225,SYAHIRAH RESOURCES SDN BHD,12/5/2020,225,185,13.18,2438.3,3.2196,101.6228,0,0,0
226,SYAHIRAH RESOURCES SDN BHD,13/5/2020,226,81,13.18,1067.58,3.2196,101.623,1,0,0
227,SYAHIRAH RESOURCES SDN BHD,14/5/2020,227,43,13.18,566.74,3.2196,101.623,0,0,0
228,SYAHIRAH RESOURCES SDN BHD,15/5/2020,228,237,13.18,3123.66,3.2196,101.6229,0,0,0
229,SYAHIRAH RESOURCES SDN BHD,16/5/2020,229,271,13.18,3571.78,3.2196,101.6229,0,1,0
230,SYAHIRAH RESOURCES SDN BHD,17/5/2020,230,105,13.18,1383.9,3.2196,101.6228,0,0,0
231,SYAHIRAH RESOURCES SDN BHD,18/5/2020,231,262,13.18,3453.16,3.2196,101.6226,1,0,0
232,SYAHIRAH RESOURCES SDN BHD,19/5/2020,232,292,13.18,3848.56,3.2196,101.623,1,0,0
233,SYAHIRAH RESOURCES SDN BHD,20/5/2020,233,220,13.18,2899.6,3.2196,101.6228,0,0,0
234,SYAHIRAH RESOURCES SDN BHD,21/5/2020,234,175,13.18,2306.5,3.2196,101.6229,0,0,0
235,SYAHIRAH RESOURCES SDN BHD,22/5/2020,235,206,13.18,2715.08,3.2196,101.6231,1,0,0
236,SYAHIRAH RESOURCES SDN BHD,23/5/2020,236,121,13.18,1594.78,3.2196,101.623,0,1,0
237,SYAHIRAH RESOURCES SDN BHD,24/5/2020,237,303,13.18,3993.54,3.2196,101.6231,1,0,0
